Section #,Station (m),MPD (mm),Latitude,Longitude
373,3720.0 to 3730.0,0.66,51.9273796221296 N,0.227902379953704 W
374,3730.0 to 3740.0,0.37,51.9274049324768 N,0.227762163032407 W
375,3740.0 to 3750.0,0.36,51.9274302755556 N,0.227621935277778 W
376,3750.0 to 3760.0,0.33,51.9274553569444 N,0.227482221666667 W
377,3760.0 to 3770.0,0.36,51.9274803533333 N,0.227341962777778 W
378,3770.0 to 3780.0,0.37,51.9275052976596 N,0.227202137234043 W
379,3780.0 to 3790.0,0.42,51.9275297934694 N,0.227062467324263 W
380,3790.0 to 3800.0,0.47,51.9275541730969 N,0.226922938250591 W
381,3800.0 to 3810.0,0.41,51.927578430463 N,0.226782703287037 W
382,3810.0 to 3820.0,0.39,51.9276022573286 N,0.226642707517731 W
383,3820.0 to 3830.0,0.40,51.9276267082033 N,0.226503019905437 W
384,3830.0 to 3840.0,0.41,51.9276516796454 N,0.226362825791962 W
385,3840.0 to 3850.0,0.43,51.9276767225448 N,0.226223425412186 W
386,3850.0 to 3860.0,0.41,51.9277019883575 N,0.226083874444444 W
387,3860.0 to 3870.0,0.54,51.9277273884127 N,0.225944186349206 W
388,3870.0 to 3880.0,0.86,51.9277525968841 N,0.225804063792271 W
389,3880.0 to 3890.0,0.85,51.9277784342963 N,0.225658996148148 W
390,3890.0 to 3900.0,0.88,51.9278021005432 N,0.225526455407407 W
391,3900.0 to 3910.0,0.63,51.9278271032346 N,0.225385795209877 W
392,3910.0 to 3920.0,0.36,51.9278518550505 N,0.225246823939394 W
393,3920.0 to 3930.0,0.37,51.9278760820707 N,0.225107587979798 W
394,3930.0 to 3940.0,1.02,51.9279002778535 N,0.224968329015152 W
395,3940.0 to 3950.0,1.46,51.9279243305556 N,0.224828073888889 W
396,3950.0 to 3960.0,1.54,51.92794811 N,0.224686081111111 W
397,3960.0 to 3970.0,1.47,51.9279712198966 N,0.224545847855297 W
398,3970.0 to 3980.0,1.25,51.9279937160465 N,0.224405080310077 W
399,3980.0 to 3990.0,1.40,51.9280147345995 N,0.224264462403101 W
400,3990.0 to 4000.0,1.30,51.928034432584 N,0.224122737235142 W
401,4000.0 to 4010.0,1.52,51.9280530606349 N,0.223981712539683 W
402,4010.0 to 4020.0,1.68,51.9280703053175 N,0.223840086507937 W
403,4020.0 to 4030.0,1.33,51.9280866022764 N,0.223698468048781 W
404,4030.0 to 4040.0,1.43,51.9281017503794 N,0.223555560460705 W
405,4040.0 to 4050.0,1.22,51.9281158219512 N,0.223412845067751 W
406,4050.0 to 4060.0,1.00,51.9281284820513 N,0.223268285527066 W
407,4060.0 to 4070.0,0.89,51.9281404436752 N,0.223123957606838 W
408,4070.0 to 4080.0,1.33,51.9281511120468 N,0.222978143567251 W
409,4080.0 to 4090.0,1.21,51.9281610207508 N,0.222833053033033 W
410,4090.0 to 4100.0,1.31,51.9281696773457 N,0.222686618425926 W
411,4100.0 to 4110.0,0.90,51.9281775535354 N,0.222545117171717 W
412,4110.0 to 4120.0,0.51,51.928184885914 N,0.222394917455197 W
