Section #,Station (m),MPD (mm),Latitude,Longitude
89,880.0 to 890.0,0.45,51.9389900196618 N,0.262271357777778 W
90,890.0 to 900.0,0.49,51.9389418771717 N,0.262150955757576 W
91,900.0 to 910.0,0.52,51.9388941908466 N,0.262031154550265 W
92,910.0 to 920.0,0.51,51.938845042 N,0.261908321111111 W
93,920.0 to 930.0,0.55,51.9387962630864 N,0.261786330864198 W
94,930.0 to 940.0,0.83,51.9387475352992 N,0.261662976068376 W
95,940.0 to 950.0,1.34,51.9386991644445 N,0.261540637777778 W
96,950.0 to 960.0,1.39,51.938649052 N,0.261420120166667 W
97,960.0 to 970.0,1.50,51.9385950889815 N,0.261303046820988 W
98,970.0 to 980.0,1.50,51.9385404831482 N,0.261182805740741 W
99,980.0 to 990.0,0.98,51.9384899372222 N,0.261063430079365 W
100,990.0 to 1000.0,1.07,51.9384391810621 N,0.260943274591503 W
101,1000.0 to 1010.0,0.83,51.9383876932716 N,0.260825536296296 W
102,1010.0 to 1020.0,0.62,51.9383352847712 N,0.26070327745098 W
103,1020.0 to 1030.0,0.88,51.9382845949383 N,0.260588473703704 W
104,1030.0 to 1040.0,0.71,51.9382301176667 N,0.260471558888889 W
105,1040.0 to 1050.0,0.56,51.9381751756566 N,0.260358468484849 W
106,1050.0 to 1060.0,0.48,51.938118375505 N,0.260244541313131 W
107,1060.0 to 1070.0,0.46,51.9380628924396 N,0.260131265120773 W
108,1070.0 to 1080.0,0.49,51.9380054861778 N,0.260019062133333 W
109,1080.0 to 1090.0,0.51,51.9379473502778 N,0.25991032837963 W
110,1090.0 to 1100.0,0.85,51.9378873537333 N,0.259805420977778 W
111,1100.0 to 1110.0,0.66,51.9378235979487 N,0.259699792606838 W
112,1110.0 to 1120.0,0.58,51.9377610845778 N,0.259592260711111 W
113,1120.0 to 1130.0,0.58,51.9376984371795 N,0.259486892307692 W
114,1130.0 to 1140.0,0.66,51.9376359257265 N,0.259382242051282 W
115,1140.0 to 1150.0,0.58,51.937573687284 N,0.259277579012346 W
116,1150.0 to 1160.0,0.54,51.9375130734921 N,0.259168113095238 W
117,1160.0 to 1170.0,0.54,51.9374538010318 N,0.25905686765873 W
118,1170.0 to 1180.0,0.47,51.9373963363492 N,0.258943575714286 W
119,1180.0 to 1190.0,0.55,51.9373407727778 N,0.258828290555556 W
120,1190.0 to 1200.0,0.55,51.93728763 N,0.258711065396825 W
121,1200.0 to 1210.0,0.50,51.9372356660318 N,0.258591392539683 W
